,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,Adj_Score
78,141440366.59955844,116,The 40-Year-Old Virgin,2005,353562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,17.38710867926838
79,175370303.61723018,149,A Time to Kill,1996,118966,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,25.805549183479755
80,124042902.64966206,108,Black Swan,2010,629744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,17.300633506788298
81,186555977.45405048,117,Indecent Proposal,1993,58454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,19.435395139348444
82,693798317.0062009,100,Love Story,1970,32941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,9.079543555665415
83,145672214.77344137,111,The Italian Job,2003,317691,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, France, UK, Italy",4,22.245728616568307
84,170086905.5388751,103,The First Wives Club,1996,40299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,17.969073969702272
85,122033449.02844648,140,Robin Hood,2010,235238,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, UK",2,26.70806437651904
86,146295622.20368248,117,Road to Perdition,2002,226027,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,10.532066695546984
87,200743253.43161985,105,Dick Tracy,1990,56298,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,USA,1,5.967916416736426
88,129590781.5594,130,Dreamgirls,2006,64690,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,USA,1,16.15311801063993
89,316960063.72751546,109,9 to 5,1980,28690,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,11.04840227358919
90,179033065.54347742,128,In the Line of Fire,1993,86167,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,20.040489620898015
91,119390203.27450596,93,Journey to the Center of the Earth,2008,102378,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,8.89156081238998
92,521573815.1328139,105,Gone in 60 Seconds,1974,13585,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,2.4035999713508107
93,173472873.27983433,127,Maverick,1994,95916,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,USA,1,18.636223986655878
94,188587033.7231789,99,Sleeping with the Enemy,1991,46656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,10.756665600580096
95,163325233.25066042,115,Eraser,1996,97246,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1,14.022645435127385
96,182360149.2215111,130,Unforgiven,1992,333306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1,27.323868824553493
97,138045568.1286632,82,The Cat in the Hat,2003,45168,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15.723416336556696
98,153383661.25984854,105,Sleepy Hollow,1999,302104,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Germany, USA",2,20.577988513482154
99,159033671.3986993,150,Contact,1997,231681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,USA,1,16.722791136959415
100,143724092.09027842,136,Vanilla Sky,2001,229864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"USA, Spain",2,23.30792219453232
101,105915563.10040088,116,Arrival,2016,477184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"USA, Canada",2,18.27077602501564
102,100478608.0,109,A Wrinkle in Time,2018,28847,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,8.84747278471849
103,122321180.57016912,96,Evan Almighty,2007,129339,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15.028235929906076
104,161460195.03824,91,The Hunchback of Notre Dame,1996,125391,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,9.706330814704847
105,156184204.49331567,93,Hercules,1997,176783,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,11.09372534224012
106,231515050.66701388,154,The Color Purple,1985,74013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,17.410817183012124
107,119151559.31409566,95,Meet the Robinsons,2007,79174,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,6.316041561919783
108,147816601.5249589,78,Inspector Gadget,1999,43589,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,9.867169439007222
109,114354048.937,140,Public Enemies,2009,257179,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,18.459735152941324
110,131434587.58727196,154,Cold Mountain,2003,131031,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"UK, Italy, Romania, USA",4,18.61843950721482
111,32831971.2484,110,Arthur,2011,49281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,14.718299686558478
112,153687559.7571471,105,Michael,1996,40912,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,20.429376797527095
113,132854020.96854071,102,America's Sweethearts,2001,53873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,19.394235523002006
114,235978389.81192487,95,Flashdance,1983,46325,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1,7.449222036243625
115,85922269.9142742,106,Non-Stop,2014,228765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"UK, France, USA, Canada",4,15.529567964598161
116,138723346.76847747,113,The Haunting,1999,67924,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,USA,1,18.345218291841388
117,151645815.96600583,116,Crimson Tide,1995,94508,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,USA,1,19.417445470178777
118,103105882.3578,111,RED,2010,266990,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,13.46756605422674
119,165805599.0332706,105,Father of the Bride,1991,65139,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,14.689285274679218
120,96914579.35305443,150,The Lone Ranger,2013,204950,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1,17.329119911529073
121,96623504.27729274,124,Oblivion,2013,441117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,17.21773361993862
122,110948169.11504628,129,Inside Man,2006,307373,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,24.7865962277638
123,117643229.26979764,90,Along Came Polly,2004,117795,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,16.746824630924017
124,158706878.48465443,110,The Hand That Rocks the Cradle,1992,37243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,11.401135446560312
125,829019871.6193037,77,Peter Pan,1953,115815,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,4.243132393614217
126,71111010.64079131,118,Sisters,2015,57603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,9.234104613111658
127,116947707.95319311,85,Brother Bear,2003,84839,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,10.298964958028739
128,237315208.869934,106,Stripes,1981,61964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,13.269650868975425
129,196535724.38401705,137,Aliens,1986,586264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,14.13728467414444
130,1517787296.2393384,88,Pinocchio,1940,121607,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,3.7638728517860307
131,119360116.37671544,95,Atlantis: The Lost Empire,2001,91079,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,12.181834397725659
132,147071435.60069066,113,Cliffhanger,1993,111134,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Italy, France",3,15.229192222863835
133,290699114.82908666,147,Apocalypse Now,1979,534101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,20.15482179367472
134,97469385.09317878,121,Valkyrie,2008,210045,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"USA, Germany",2,21.70674475429647
135,100257574.2618,115,Beowulf,2007,154158,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15.039053965352299
136,100299212.86676016,96,Bridge to Terabithia,2007,128736,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,11.371313671366842
137,123376276.13145988,139,The Talented Mr. Ripley,1999,159427,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,21.90124432941952
138,134446216.64364618,109,Congo,1995,41482,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,12.806514282171813
139,281854283.34014213,116,Alien,1979,693076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2,18.89286862605052
140,179487895.22858682,102,Moonstruck,1987,46044,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,17.516866716679825
141,103845752.08852804,104,The Dukes of Hazzard,2005,73210,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,7.691325359050797
142,92319777.6792,108,Dear John,2010,124342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,USA,1,16.771303851650877
143,184206556.88006964,94,The Golden Child,1986,50146,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1,12.007122524714433
144,146809703.74695712,128,Cape Fear,1991,151203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,25.43955937507407
145,126854969.8599144,162,The English Patient,1996,163976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"USA, UK",2,21.855965300437088
146,109754613.8139185,138,We Were Soldiers,2002,119081,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2,16.60790834461441
147,302340557.29800004,99,Hooper,1978,10805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,13.164455961776335
148,103909304.8008,146,Man on Fire,2004,301043,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK, Mexico",3,22.430236670922632
149,144538870.88137546,137,Backdraft,1991,68044,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,24.636426684434106
150,137465464.51363248,115,White Men Can't Jump,1992,70582,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,16.22935800120379
151,178955176.05865693,117,Cocoon,1985,55569,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,13.50254028207264
