Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
79.36922791192426,35.659098,8.91618871800666,Carl Reiner,97,Summer School,Stuart Birnbaum,1987,6.5,14959,6.5,6.2,2.7,Mark Harmon, Kirstie Alley, Robin Thomas, Patrick Labyorteaux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
59.1669662219723,35.656131,9.99221540791808,Frank Oz,96,The Indian in the Cupboard,Lynne Reid Banks,1995,5.9,23154,5.9,7.1,5.8,Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
124.15177476458392,35.649012,17.05466994099024,Alan J. Pakula,105,Starting Over,Dan Wakefield,1979,6.5,1885,6.5,5.940134117214773,5.756892877173304,Burt Reynolds, Jill Clayburgh, Candice Bergen, Charles Durning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
90.44775350133058,35.615609,22.54865705296993,Mike Nichols,131,Silkwood,Nora Ephron,1983,7.2,16115,7.2,7.5,6.4,Meryl Streep, Kurt Russell, Cher, Craig T. Nelson,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
39.989762624017565,35.565975,8.776361277515331,Tom Hanks,98,Larry Crowne,Tom Hanks,2011,6.1,56580,6.1,3.6,4.1,Tom Hanks, Sarah Mahoney, Roxana Ortega, Randall Park,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
41.28436888012986,35.596227,9.328997118850474,Anton Corbijn,105,The American,Rowan Joffe,2010,6.3,85522,6.3,6.5,6.1,George Clooney, Irina Björklund, Lars Hjelm, Björn Granath,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK",2
36.55967308187964,34.690808,13.620399397011564,Dan Mazer,102,Dirty Grandpa,John Phillips,2016,5.9,96049,5.9,1.2,2.1,Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
44.0332665318,35.1,13.980902128795009,Alfonso Cuarón,109,Children of Men,Alfonso Cuarón,2006,7.9,415681,7.9,9.2,8.4,Clive Owen, Juan Gabriel Yacuzzi, Michael Caine, Mishal Husain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK, Japan",3
58.79357651221002,35.431113,16.443703863807542,Joseph Ruben,110,Money Train,Doug Richardson,1995,5.6,35323,5.6,2.2,5.756892877173304,Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
45.340829144439745,35.019634,8.889821962908874,Barry W. Blaustein,94,The Ringer,Ricky Blitt,2005,5.8,33192,5.8,4.0,4.6,Johnny Knoxville, Brian Cox, Katherine Heigl, Jed Rees,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1
