,Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,budget,Adjusted_Budgets,Director_Score,Writer_Score,Actor_Score
8731,0.123148594638144,0.091968,9.176382568689638,Revathy,142,Phir Milenge,Atul Sabharwal,2004,6.3,1402,6.3,5.940134117214773,5.7568928771733034,Salman Khan, Abhishek Bachchan, Shilpa Shetty, Mita Vasisht,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,India,1,,,0.03621211414980599,0.043748707438294634,1.3524739405432984
8732,0.115265543082858,0.09188099999999999,3.778853644698088,Corneliu Porumboiu,89,12:08 East of Bucharest,Corneliu Porumboiu,2006,7.4,6083,7.4,9.6,7.7,Mircea Andreescu, Teodor Corban, Ion Sapdaru, Mirela Cioaba,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romania,1,,,0.09346485300310693,0.05071129969420622,0.15129028191841798
8733,0.09793267921155,0.091675,3.3346699245866938,Paul Hoen,85,Cloud 9,Justin Ware,2014,6.8,3046,6.8,5.940134117214773,5.7568928771733034,Luke Benward, Dove Cameron, Kiersey Clemons, Mike C. Manning,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,,,0.03732264121118295,0.021129378088557492,0.2139243151569542
8734,0.215522689209194,0.091666,11.504721610637324,Kevin Reynolds,91,Fandango,Kevin Reynolds,1985,6.7,6682,6.7,5.0,5.7568928771733034,Kevin Costner, Judd Nelson, Sam Robards, Chuck Bush,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.2591589043359325,0.0669481111570271,1.7259538977638025
8735,0.17721121486262398,0.09157799999999999,17.67655992817352,Bruno Barreto,95,A Show of Force,Anne Nelson,1990,5.2,629,5.2,5.940134117214773,5.7568928771733034,Amy Irving, Andy Garcia, Lou Diamond Phillips, Robert Duvall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,,,0.2848099198411729,0.04356053067300455,2.987585722503125
8736,0.097580250522034,0.091462,2.8671002854991476,Travis Holt Hamilton,85,Legends from the Sky,Travis Holt Hamilton,2015,6.6,47,6.6,5.940134117214773,5.7568928771733034,Edsel Pete, Mia Sable, Chris Robinson, Ernest Tsosie III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,,,0.03688061067017077,0.020921356500214247,0.15740443710332147
8737,0.06600400674201999,0.06262999999999999,6.382571316343538,Chris Kelly,97,Other People,Chris Kelly,2016,6.7,7107,6.7,8.5,6.7,Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,,,0.040873100633641024,0.022762342136360417,0.6107143292246315
8738,0.099205940149884,0.091401,5.951038657016058,Jeremy Leven,101,Girl on a Bicycle,Jeremy Leven,2013,6.2,1942,6.2,0.8,3.2,Vincenzo Amato, Nora Tschirner, Louise Monot, Paddy Considine,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Germany, France",2,,,0.026607167147701626,0.10795196115293576,0.4973453073505635
8739,0.094035672004184,0.091144,5.2653398790898205,Shin-yeon Won,118,Memoir of a Murderer,Jo-yun Hwang,2017,7.0,2015,7.0,5.940134117214773,5.7568928771733034,Kyung-gu Sol, Nam-gil Kim, Seol-Hyun Kim, Dal-su Oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,South Korea,1,,,0.03776187120008497,0.04815634305063245,0.4021460572408482
8740,0.09731992840872601,0.091218,7.836677956874057,Alex Ross Perry,90,Queen of Earth,Alex Ross Perry,2015,6.3,4955,6.3,9.3,7.7,Elisabeth Moss, Katherine Waterston, Patrick Fugit, Kentucker Audley,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,,,0.18257970932012307,0.07356016584731191,0.5915429126696171
