,BoxOffice,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
5389,6613654.146178667,Michael Carney,119,Same Kind of Different as Me,Michael Carney,2017,6.5,3526,6.5,3.3,4.7,Greg Kinnear,Renée Zellweger,Djimon Hounsou,Jon Voight,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5390,11233661.42840317,Tom Holland,99,The Temp,Kevin Falls,1993,5.2,6179,5.2,2.9,5.7568928771733034,Timothy Hutton,Lara Flynn Boyle,Dwight Schultz,Oliver Platt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5391,11904441.06617375,Martin Campbell,104,Defenseless,James Cresson,1991,5.8,4417,5.8,5.940134117214773,5.7568928771733034,Barbara Hershey,Sam Shepard,Mary Beth Hurt,J.T. Walsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1
5392,7445525.380072253,Peter Cattaneo,102,The Rocker,Maya Forbes,2008,6.2,36155,6.2,4.1,5.3,Rainn Wilson,Christina Applegate,Teddy Geiger,Josh Gad,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1
5393,11209237.366907643,Fred Schepisi,112,Six Degrees of Separation,John Guare,1993,6.9,21750,6.9,8.8,7.2,Stockard Channing,Will Smith,Donald Sutherland,Ian McKellen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1
5394,11882094.39753272,Gus Van Sant,104,My Own Private Idaho,Gus Van Sant,1991,7.1,46761,7.1,8.1,7.7,River Phoenix,Keanu Reeves,James Russo,William Richert,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5395,10072644.925307667,David Hogan,99,Most Wanted,Keenen Ivory Wayans,1997,5.6,8193,5.6,1.5,5.7568928771733034,Keenen Ivory Wayans,Robert Kotecki,Rick Cramer,Kenn Whitaker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5396,7533236.841898092,Juan José Campanella,129,The Secret in Their Eyes,Eduardo Sacheri,2009,8.2,167823,8.2,9.1,8.0,Soledad Villamil,Ricardo Darín,Carla Quevedo,Pablo Rago,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"Argentina, Spain",2
5397,6818618.473124662,Sebastian del Amo,102,Cantinflas,Edui Tijerina,2014,6.6,3974,6.6,4.5,4.4,Óscar Jaenada,Adrian Herrera,Michael Imperioli,Alejandra Prado,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexico,1
5398,7415857.715749008,Vicky Jenson,88,Post Grad,Kelly Fremon Craig,2009,5.3,14123,5.3,0.8,3.5,Alexis Bledel,Zach Gilford,Michael Keaton,Jane Lynch,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5399,7014923.504122902,Roger Michell,94,Hyde Park on Hudson,Richard Nelson,2012,5.9,11284,5.9,3.8,5.5,Bill Murray,Laura Linney,Samuel West,Olivia Colman,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UK,1
5400,11494205.4822046,Howard Deutch,100,Article 99,Ron Cutler,1992,6.1,6289,6.1,4.3,5.7568928771733034,Ray Liotta,Kiefer Sutherland,Forest Whitaker,Lea Thompson,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5401,7364773.150879715,Anna Boden,101,It's Kind of a Funny Story,Anna Boden,2010,7.1,124081,7.1,5.9,6.3,Keir Gilchrist,Dana DeVestern,Lauren Graham,Jim Gaffigan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5402,16118730.51816122,Jeremy Kagan,101,The Sting II,David S. Ward,1983,5.2,6760,5.2,0.0,5.7568928771733034,Jackie Gleason,Mac Davis,Teri Garr,Karl Malden,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5403,19463285.13737927,Kevin Connor,101,Motel Hell,Robert Jaffe,1980,6.1,13667,6.1,7.0,6.4,Rory Calhoun,Paul Linke,Nancy Parsons,Nina Axelrod,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,USA,1
5404,13551320.831397505,Camilo Vila,102,The Unholy,Philip Yordan,1988,4.9,5448,4.9,5.940134117214773,5.7568928771733034,Ruben Rabasa,Nicole Fortier,Peter Frechette,Phil Becker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,USA,1
5405,16083336.757505655,Richard Fleischer,105,Amityville 3-D,William Wales,1983,4.0,9879,4.0,0.5,2.8,Tony Roberts,Tess Harper,Robert Joy,Candy Clark,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"USA, Mexico",2
5406,9975113.416168334,Paul Schrader,114,Affliction,Russell Banks,1997,7.0,16123,7.0,8.8,7.9,Nick Nolte,Brigid Tierney,Holmes Osborne,Jim True-Frost,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Canada",2
5407,38285797.10307,John Sturges,88,Joe Kidd,Elmore Leonard,1972,6.5,21027,6.5,8.6,5.2,Clint Eastwood,Robert Duvall,John Saxon,Don Stroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1
5408,16594089.282967664,James Glickenhaus,96,The Soldier,James Glickenhaus,1982,5.2,5887,5.2,5.940134117214773,5.7568928771733034,Ken Wahl,Alberta Watson,Jeremiah Sullivan,William Prince,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5409,14873644.79299316,Alan Metter,90,Girls Just Want to Have Fun,Amy Spies,1985,6.0,13370,6.0,3.8,5.7568928771733034,Biff Yeager,Kristi Somers,Richard Blade,Ian Michael Giatti,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1
5410,19397997.019731794,Walter Bernstein,103,Little Miss Marker,Damon Runyon,1980,6.3,6446,6.3,5.940134117214773,5.7568928771733034,Walter Matthau,Julie Andrews,Tony Curtis,Bob Newhart,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5411,8228125.252522998,Kevin Spacey,118,Beyond the Sea,Kevin Spacey,2004,6.7,15771,6.7,4.2,4.6,Kevin Spacey,Kate Bosworth,John Goodman,Bob Hoskins,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"UK, Germany, USA",3
5412,6643454.509224063,Richard Tanne,84,Southside with You,Richard Tanne,2016,6.4,7605,6.4,9.1,7.4,Tika Sumpter,Parker Sawyers,Vanessa Bell Calloway,Phillip Edward Van Lear,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5413,8133605.702825443,John Maybury,103,The Jacket,Tom Bleecker,2005,7.1,103765,7.1,4.4,4.4,Adrien Brody,Keira Knightley,Kris Kristofferson,Jennifer Jason Leigh,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"Germany, USA",2
5414,6487267.509205101,Ricardo de Montreuil,98,Lowriders,Elgin James,2016,5.6,2017,5.6,5.5,5.7,Gabriel Chavarria,Demián Bichir,Theo Rossi,Tony Revolori,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5415,9239983.231255002,Mike Nichols,105,What Planet Are You From?,Garry Shandling,2000,5.6,11201,5.6,4.2,4.1,Garry Shandling,Annette Bening,John Goodman,Greg Kinnear,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
5416,12828807.635916913,Jamie Uys,98,The Gods Must Be Crazy II,Jamie Uys,1989,6.9,18654,6.9,5.4,5.7568928771733034,N!xau,Lena Farugia,Hans Strydom,Eiros,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Africa, Botswana, USA",3
5417,7499145.754158444,Gary Fleder,95,Impostor,Philip K. Dick,2001,6.2,23786,6.2,2.2,3.3,Gary Sinise,Madeleine Stowe,Vincent D'Onofrio,Tony Shalhoub,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,USA,1
5418,11632037.792667173,Martha Coolidge,112,Rambling Rose,Calder Willingham,1991,6.7,8071,6.7,10.0,5.7568928771733034,Laura Dern,Robert Duvall,Diane Ladd,Lukas Haas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5419,12772608.332982086,Costa-Gavras,124,Music Box,Joe Eszterhas,1989,7.3,10055,7.3,7.5,5.7568928771733034,Jessica Lange,Armin Mueller-Stahl,Frederic Forrest,Donald Moffat,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5420,4667569.9646762535,J.C. Chandor,106,All Is Lost,J.C. Chandor,2013,6.9,69486,6.9,9.4,8.7,Robert Redford,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5421,15211359.54868191,Michael Apted,103,Firstborn,Ron Koslow,1984,6.2,6506,6.2,5.940134117214773,5.7568928771733034,Teri Garr,Peter Weller,Christopher Collet,Corey Haim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5422,10657314.170981878,John Irvin,101,Widows' Peak,Hugh Leonard,1994,6.8,4832,6.8,9.4,5.7568928771733034,Mia Farrow,Joan Plowright,Natasha Richardson,Adrian Dunbar,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"UK, Ireland",2
5423,6705640.581128413,Terry Zwigoff,111,Ghost World,Daniel Clowes,2001,7.4,107649,7.4,9.2,8.8,Thora Birch,Scarlett Johansson,Steve Buscemi,Brad Renfro,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK, Germany",3
5424,9421941.937179383,Mike Leigh,154,Topsy-Turvy,Mike Leigh,1999,7.4,13523,7.4,8.9,9.0,Allan Corduner,Dexter Fletcher,Sukie Smith,Roger Heathcott,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"UK, USA",2
5425,64986196.76741219,Jules Dassin,96,Night and the City,Jo Eisinger,1950,8.0,19123,8.0,7.9,5.7568928771733034,Richard Widmark,Gene Tierney,Googie Withers,Hugh Marlowe,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"UK, USA",2
5426,5531543.613466175,Ali Abbas Zafar,170,Sultan,Ali Abbas Zafar,2016,7.1,32121,7.1,8.9,5.7568928771733034,Salman Khan,Anushka Sharma,Kubbra Sait,Marko Zaror,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,India,1
5427,8479566.12978361,Phillip Noyce,94,Rabbit-Proof Fence,Doris Pilkington,2002,7.5,27771,7.5,8.7,8.0,Everlyn Sampi,Tianna Sansbury,Laura Monaghan,David Gulpilil,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,1
5428,13244686.679437695,Aaron Norris,101,Braddock: Missing in Action III,Arthur Silver,1988,4.7,9052,4.7,5.940134117214773,5.7568928771733034,Chuck Norris,Aki Aleong,Roland Harrah III,Miki Kim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1
5429,8410550.331665251,Caroline Link,141,Nowhere in Africa,Caroline Link,2001,7.6,13859,7.6,8.5,7.2,Juliane Köhler,Merab Ninidze,Sidede Onyulo,Matthias Habich,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,1
5430,21493872.81410191,Neal Israel,86,Americathon,Phil Proctor,1979,4.2,6159,4.2,5.940134117214773,5.7568928771733034,Harvey Korman,Fred Willard,Peter Riegert,Zane Buzby,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Germany, USA",2
5431,11446786.34124163,Jonathan Wacks,97,Mystery Date,Parker Bennett,1991,6.0,6003,6.0,2.5,5.7568928771733034,Ethan Hawke,Teri Polo,Brian McNamara,Fisher Stevens,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5432,10513162.629051933,John Sayles,103,The Secret of Roan Inish,Rosalie K. Fry,1994,7.5,9825,7.5,9.5,5.7568928771733034,Jeni Courtney,Pat Slowey,Dave Duffy,Declan Hannigan,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Ireland",2
5433,12554984.632643836,Jay Levey,97,UHF,'Weird Al' Yankovic,1989,7.0,27391,7.0,6.3,3.2,'Weird Al' Yankovic,Victoria Jackson,Kevin McCarthy,Michael Richards,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5434,11422878.617004033,Joel Coen,116,Barton Fink,Joel Coen,1991,7.7,105254,7.7,8.9,6.9,John Turturro,John Goodman,Judy Davis,Michael Lerner,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK",2
5435,14455015.962932002,Fred Schepisi,121,Plenty,David Hare,1985,6.1,7068,6.1,5.7,5.7568928771733034,Meryl Streep,André Maranne,Sam Neill,Charles Dance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UK, USA",2
5436,9520872.010042537,Christopher Guest,90,Almost Heroes,Mark Nutter,1998,5.8,16897,5.8,0.8,5.7568928771733034,Chris Farley,Matthew Perry,Bokeem Woodbine,Barry Del Sherman,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1
5437,8318121.709680784,Linda Mendoza,80,Chasing Papi,Laura Angelica Simon,2003,4.8,5821,4.8,1.4,3.3,Roselyn Sanchez,Sofía Vergara,Jaci Velasquez,Eduardo Verástegui,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5438,6115825.0,Rob Cohen,103,The Hurricane Heist,Scott Windhauser,2018,5.0,12290,5.0,4.5,3.5,Toby Kebbell,Maggie Grace,Ryan Kwanten,Ralph Ineson,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5439,7070713.617902721,Anne Fontaine,105,Coco Before Chanel,Edmonde Charles-Roux,2009,6.7,36785,6.7,6.3,6.5,Audrey Tautou,Benoît Poelvoorde,Alessandro Nivola,Marie Gillain,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"France, Belgium",2
5440,9632462.526250957,John Nicolella,95,Kull the Conqueror,Robert E. Howard,1997,4.8,10124,4.8,2.6,5.7568928771733034,Kevin Sorbo,Tia Carrere,Thomas Ian Griffith,Litefoot,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5441,10693145.643635763,Robert Altman,188,Short Cuts,Raymond Carver,1993,7.7,42304,7.7,9.5,7.9,Andie MacDowell,Bruce Davison,Jack Lemmon,Zane Cassidy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5442,16020356.022189999,Guy Hamilton,117,Evil Under the Sun,Anthony Shaffer,1982,7.0,16475,7.0,8.6,6.1,Peter Ustinov,Colin Blakely,Jane Birkin,Nicholas Clay,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,UK,1
5443,7070792.648781565,Ronan Chapalain,41,Sea Rex 3D: Journey to a Prehistoric World,Ronan Chapalain,2010,6.9,1458,6.9,5.940134117214773,5.7568928771733034,Guillaume Denaiffe,Norbert Ferrer,Chloe Hollings,Richard Rider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UK, France",2
5444,14273491.245554948,Michael Dinner,104,Heaven Help Us,Charles Purpura,1985,7.0,8185,7.0,4.0,5.7568928771733034,Donald Sutherland,John Heard,Andrew McCarthy,Mary Stuart Masterson,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5445,11747368.9351908,Paul Brickman,115,Men Don't Leave,Barbara Benedek,1990,6.7,6072,6.7,8.1,5.7568928771733034,Jessica Lange,Arliss Howard,Joan Cusack,Chris O'Donnell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5446,6262171.7828376535,Ron Shelton,91,Just Getting Started,Ron Shelton,2017,4.3,4173,4.3,0.5,2.1,Morgan Freeman,Tommy Lee Jones,Rene Russo,Joe Pantoliano,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5447,12350576.261296578,Lewis Gilbert,108,Shirley Valentine,Willy Russell,1989,7.2,10116,7.2,6.9,5.2,Pauline Collins,Tom Conti,Julia McKenzie,Alison Steadman,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"UK, USA",2
5448,7674389.907959673,Christopher McQuarrie,119,The Way of the Gun,Christopher McQuarrie,2000,6.7,32223,6.7,4.8,4.9,Ryan Phillippe,Benicio Del Toro,Juliette Lewis,Taye Diggs,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
5449,14711661.892718205,Richard Benjamin,108,Racing with the Moon,Steve Kloves,1984,6.8,8282,6.8,6.0,5.7568928771733034,Sean Penn,Elizabeth McGovern,Nicolas Cage,John Karlen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5450,9157050.606196243,Dave Meyers,84,Foolish,Master P,1999,4.4,3239,4.4,0.0,5.7568928771733034,Eddie Griffin,Master P,Amie Petersen,Frank Sivero,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5451,13915833.450228225,Blake Edwards,90,A Fine Mess,Blake Edwards,1986,4.5,5681,4.5,3.3,5.7568928771733034,Ted Danson,Howie Mandel,Richard Mulligan,Stuart Margolin,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5452,10271194.639945693,George Gallo,111,Trapped in Paradise,George Gallo,1994,5.9,14519,5.9,1.0,5.7568928771733034,Nicolas Cage,Richard B. Shull,Jon Lovitz,Dana Carvey,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5453,8215030.29802455,Shari Springer Berman,101,American Splendor,Harvey Pekar,2003,7.5,46916,7.5,9.4,9.0,Chris Ambrose,Joey Krajcar,Josh Hutcherson,Cameron Carter,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
5454,6612750.038095939,Sacha Gervasi,98,Hitchcock,John J. McLaughlin,2012,6.8,67834,6.8,6.0,5.5,Anthony Hopkins,Helen Mirren,Scarlett Johansson,Danny Huston,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK",2
5455,7165752.7818332035,Julian Schnabel,112,The Diving Bell and the Butterfly,Ronald Harwood,2007,8.0,98082,8.0,9.4,9.2,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,Anne Consigny,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"France, USA",2
5456,6389441.2689999975,Michael Apted,116,Chasing Mavericks,Kario Salem,2012,7.2,29124,7.2,3.2,4.5,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1
5457,4710123.349597602,Erik Van Looy,108,The Loft,Bart De Pauw,2014,6.3,45329,6.3,1.5,2.4,Karl Urban,James Marsden,Wentworth Miller,Eric Stonestreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"Belgium, USA",2
5458,6606609.5647108685,Ben Lewin,95,The Sessions,Ben Lewin,2012,7.2,40102,7.2,9.1,7.9,John Hawkes,Helen Hunt,William H. Macy,Moon Bloodgood,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
5459,15231141.244165195,John Mackenzie,104,Beyond the Limit,Graham Greene,1983,5.7,5894,5.7,5.940134117214773,5.7568928771733034,Michael Caine,Richard Gere,Bob Hoskins,Elpidia Carrillo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"UK, Mexico",2
5460,9424397.302809926,Jim Sheridan,113,The Boxer,Jim Sheridan,1997,7.1,19431,7.1,8.0,7.5,Daniel Day-Lewis,Daragh Donnelly,Frank Coughlan,Sean Kearns,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"USA, Ireland",2
5461,15679358.417974962,Robert Benton,93,Still of the Night,Robert Benton,1982,6.1,8328,6.1,6.7,5.7568928771733034,Roy Scheider,Meryl Streep,Jessica Tandy,Joe Grifasi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1
