,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W
63,115928972.08407882,89,Lucy,2014,388684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"France, Taiwan, Germany",3,2.9177779586645003,3.714429183376951
64,167918128.84044564,125,Ocean's Twelve,2004,324864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,4.604281572971059,0.9040828053772336
65,206956615.60744783,116,Speed,1994,297542,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,1.4247965135055414,0.7603103474843736
66,161724699.08715224,99,50 First Dates,2004,298837,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,2.0139404969867205,0.34349179053659107
67,142085581.31834662,153,Inglourious Basterds,2009,1070175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Germany, USA",2,2.4138946501041363,2.3162070474874263
68,204721595.04836527,101,The Mask,1994,307386,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.767995936566756,0.38254590374325553
69,521415289.6252983,120,Rocky,1976,460052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,2.666450403778736,2.1335977837787614
70,152879059.31491467,108,The Village,2004,221907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,2.686778760441845,2.166547354570234
71,3403541.072419407,165,The Patriot,2000,233922,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"USA, Germany",2,2.5150393435456615,0.9770998660030414
72,132866990.96649183,120,It's Complicated,2009,79373,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,2.000655085680406,1.9683806206118557
73,161008772.71492547,88,Spy Kids,2001,98763,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,2.6664018455161314,1.8844833042730953
74,147529615.48237914,91,The Grudge,2004,130566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"USA, Japan",2,0.9241062738239291,0.9775957631793095
75,142850658.50075433,90,Fun with Dick and Jane,2005,123886,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.0683308829515206,1.803243311202102
76,151422604.0479202,97,Freaky Friday,2003,114090,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1,2.5651137917823985,0.6178365555054274
77,151178954.6779482,84,Scary Movie 3,2003,127274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Canada",2,1.6214637309249662,1.1141727607427008
78,141440366.59955844,116,The 40-Year-Old Virgin,2005,353562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,1.8687533013860473,1.803243311202102
79,175370303.61723018,149,A Time to Kill,1996,118966,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,3.872599532408613,1.9070725556269015
80,124042902.64966206,108,Black Swan,2010,629744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.2596759862070193,0.4250018033338533
81,186555977.45405048,117,Indecent Proposal,1993,58454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,1.9195464774392994,0.3018365833171277
82,693798317.0062009,100,Love Story,1970,32941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,3.1569249712930447,0.6784544108708965
83,145672214.77344137,111,The Italian Job,2003,317691,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, France, UK, Italy",4,2.3639698296079645,0.7190981775018181
84,170086905.5388751,103,The First Wives Club,1996,40299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.693618248155764,0.34056995431464027
85,122033449.02844648,140,Robin Hood,2010,235238,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, UK",2,4.665200893672623,2.152927334063732
86,146295622.20368248,117,Road to Perdition,2002,226027,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.489704047823675,0.4119463225133467
87,200743253.43161985,105,Dick Tracy,1990,56298,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,USA,1,1.5400966369715658,0.35821099351223235
88,129590781.5594,130,Dreamgirls,2006,64690,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,USA,1,2.0786951823377278,0.3942879602947073
89,316960063.72751546,109,9 to 5,1980,28690,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.1536100048633757,0.3867879192005169
90,179033065.54347742,128,In the Line of Fire,1993,86167,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.347228295544946,0.6964017872510629
91,119390203.27450596,93,Journey to the Center of the Earth,2008,102378,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.6592334716306032,0.3492502474713702
92,521573815.1328139,105,Gone in 60 Seconds,1974,13585,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.43776704759292756,0.3459709864725739
93,173472873.27983433,127,Maverick,1994,95916,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,USA,1,3.758850473241515,0.6349950503894988
94,188587033.7231789,99,Sleeping with the Enemy,1991,46656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.225390075940699,0.3106792753457858
95,163325233.25066042,115,Eraser,1996,97246,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USA,1,1.767995936566756,0.32858022736356135
96,182360149.2215111,130,Unforgiven,1992,333306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1,5.686718043641378,0.9028229238139432
97,138045568.1286632,82,The Cat in the Hat,2003,45168,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.22293290156004664,0.47375682576327155
98,153383661.25984854,105,Sleepy Hollow,1999,302104,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Germany, USA",2,3.989895148567889,0.3909756180947884
99,159033671.3986993,150,Contact,1997,231681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,USA,1,4.240832927043962,0.6814520373745763
100,143724092.09027842,136,Vanilla Sky,2001,229864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"USA, Spain",2,2.4874360468091448,1.6439702531327958
101,105915563.10040088,116,Arrival,2016,477184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"USA, Canada",2,2.3287298274354034,0.9806392677629268
102,100478608.0,109,A Wrinkle in Time,2018,28847,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,1.1909581882292586,0.6447686950750513
103,122321180.57016912,96,Evan Almighty,2007,129339,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.7071548135613581,0.5580482655899023
104,161460195.03824,91,The Hunchback of Notre Dame,1996,125391,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,1.2964389992958518,1.6585702476438229
105,156184204.49331567,93,Hercules,1997,176783,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,2.6040953643208233,1.0667384696390536
106,231515050.66701388,154,The Color Purple,1985,74013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,5.967443724197185,0.42121148074699377
107,119151559.31409566,95,Meet the Robinsons,2007,79174,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.9270649358160763,0.7496874885680107
108,147816601.5249589,78,Inspector Gadget,1999,43589,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.494884084907179,0.23994352466808716
109,114354048.937,140,Public Enemies,2009,257179,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,3.292830660669369,1.1457190228461298
110,131434587.58727196,154,Cold Mountain,2003,131031,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"UK, Italy, Romania, USA",4,1.8392218030062444,0.39675077380810486
111,32831971.2484,110,Arthur,2011,49281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.35288305408452986,0.8893741658278229
112,153687559.7571471,105,Michael,1996,40912,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.8305926582209353,1.0312603871790247
113,132854020.96854071,102,America's Sweethearts,2001,53873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,1.4690623351223915,1.0422542472703802
114,235978389.81192487,95,Flashdance,1983,46325,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1,1.9195464774392994,0.812567067572242
115,85922269.9142742,106,Non-Stop,2014,228765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"UK, France, USA, Canada",4,2.134958365967555,0.3685821298415521
116,138723346.76847747,113,The Haunting,1999,67924,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,USA,1,1.4247965135055414,0.6061102280380867
117,151645815.96600583,116,Crimson Tide,1995,94508,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,USA,1,3.5307934888005894,1.0078515586788133
118,103105882.3578,111,RED,2010,266990,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,1.296863287392862,0.830564453514917
119,165805599.0332706,105,Father of the Bride,1991,65139,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,2.007714023797035,0.3649924314814571
120,96914579.35305443,150,The Lone Ranger,2013,204950,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,1,2.647576541665284,1.3409247130140967
121,96623504.27729274,124,Oblivion,2013,441117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,0.9058831771562321,0.5644412975653631
122,110948169.11504628,129,Inside Man,2006,307373,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,4.439605288478897,0.6404819686677606
123,117643229.26979764,90,Along Came Polly,2004,117795,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,1.359154604654061,1.2503199393759545
124,158706878.48465443,110,The Hand That Rocks the Cradle,1992,37243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.9143344720023525,0.36730259642214824
125,829019871.6193037,77,Peter Pan,1953,115815,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,1.7140961028446589,0.6565635374143266
126,71111010.64079131,118,Sisters,2015,57603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.869051420282269,0.3539655936319476
127,116947707.95319311,85,Brother Bear,2003,84839,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.4238683242415451,1.6585702476438229
128,237315208.869934,106,Stripes,1981,61964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,3.2652283684999963,1.1774348084625026
129,196535724.38401705,137,Aliens,1986,586264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,2.3776269787159867,2.0669710857037735
130,1517787296.2393384,88,Pinocchio,1940,121607,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,0.5942800862010048,0.4433852227468369
131,119360116.37671544,95,Atlantis: The Lost Empire,2001,91079,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,1.2964389992958518,1.6585702476438229
132,147071435.60069066,113,Cliffhanger,1993,111134,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Italy, France",3,2.880995336745542,0.36679245127035603
133,290699114.82908666,147,Apocalypse Now,1979,534101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,3.7683342419184185,1.006016612899277
134,97469385.09317878,121,Valkyrie,2008,210045,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"USA, Germany",2,2.608871751184147,1.8062461431501684
135,100257574.2618,115,Beowulf,2007,154158,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,4.240832927043962,0.3676885730197056
136,100299212.86676016,96,Bridge to Terabithia,2007,128736,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.5362586432056683,0.6359024901778266
