,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
35,234084515.98795512,131,Hannibal,2001,233087,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK",2,0.9773578648821781,0.12222964241697935,4.462579295884967
36,231138461.6172,141,Catch Me If You Can,2002,683263,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Canada",2,1.454859333535564,0.06600293420451919,4.832341791753589
37,293542528.26558614,126,Batman Returns,1992,249416,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK",2,0.7316302385942162,0.13871540139163555,4.337819723619511
38,252569768.75188053,95,A Bug's Life,1998,243619,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.2505515104892945,0.18314117650564082,1.546365178431623
39,187888360.2422956,102,Grown Ups,2010,205818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.3906117731977027,0.044645579762435786,2.22330285626784
40,277081978.31524,154,The Firm,1993,106087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,0.495226956732753,0.18207745419470223,3.508917154088046
41,235809249.7338,124,The Mummy,1999,360308,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.1976917135348927,0.10526326102399648,2.165039843345886
42,179221185.66978672,145,Sex and the City,2008,108929,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.0589681126449878,0.034083824100981375,1.1468309703335047
43,353652809.1462773,96,Rambo: First Blood Part II,1985,138380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"USA, Mexico",2,0.18552531524747504,0.06557804950548182,1.736343704650358
44,160415113.33926427,96,Daddy's Home,2015,91857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.17542231592230606,0.017835452356624405,2.798832263839071
45,167796949.40980303,90,Puss in Boots,2011,130658,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.07973279664968827,0.022524107571487685,2.8845444773669864
46,300263828.1475608,114,Lethal Weapon 2,1989,149047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.7066223780731747,0.10170279718922506,3.0183001714584368
47,223648165.3809797,85,Doctor Dolittle,1998,87217,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.2646995170415245,0.03732038084292106,2.5087676540469452
48,168778302.99396312,108,Mamma Mia!,2008,183938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"USA, UK, Germany",3,0.07568037098051611,0.02012030873369363,2.4455813261046453
49,219040834.85799283,98,Rush Hour,1998,216507,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.37618365545711197,0.044056897917399536,1.9033464007164735
50,212514278.22183323,84,Stuart Little,1999,113246,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Germany, USA",2,0.2428289132753095,0.04469616663343431,1.7738666574870634
51,319705561.93779707,120,Platoon,1986,346469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,0.7876927294454744,0.12673170393341052,3.550600898820929
